path	line	classification	keywords	snippet
.github/workflows/activity-domain-contract-ci.yml	10	AUTOMATION	PERFORMANCE	- docs/architecture/performance/ACT-02_ACTIVITY_RECORD_CONTRACT.md
.github/workflows/activity-feed-projection-ci.yml	16	AUTOMATION	PERFORMANCE	- docs/architecture/performance/ACT-07_ACTIVITY_FEED_PROJECTION.md
.github/workflows/activity-foundation-freeze-ci.yml	21	FROZEN_ACTIVITY_REFERENCE	PERFORMANCE	- docs/architecture/performance/ACT-09_ACTIVITY_REMOTE_READ_ACCEPTANCE_CLOSURE.md
.github/workflows/activity-foundation-freeze-ci.yml	22	FROZEN_ACTIVITY_REFERENCE	PERFORMANCE	- docs/architecture/performance/ACT-10_ACTIVITY_FOUNDATION_FREEZE.md
.github/workflows/activity-persistence-adapter-ci.yml	14	AUTOMATION	PERFORMANCE	- docs/architecture/performance/ACT-04_ACTIVITY_PERSISTENCE_ADAPTER.md
.github/workflows/activity-pipeline-aggregation-ci.yml	16	AUTOMATION	PERFORMANCE	- docs/architecture/performance/ACT-06_ACTIVITY_PERIOD_AGGREGATIONS.md
.github/workflows/activity-pipeline-projection-ci.yml	16	AUTOMATION	PERFORMANCE	- docs/architecture/performance/ACT-05_PIPELINE_TO_ACTIVITY_PROJECTION.md
.github/workflows/activity-read-runtime-ci.yml	19	AUTOMATION	PERFORMANCE	- docs/architecture/performance/ACT-08_ACTIVITY_READ_RUNTIME_COMPOSITION.md
.github/workflows/activity-repository-port-ci.yml	13	AUTOMATION	PERFORMANCE	- docs/architecture/performance/ACT-03_ACTIVITY_REPOSITORY_PORT.md
.github/workflows/pages.yml	124	AUTOMATION	TARGET	const target = path.join(siteDir, publicPath);
.github/workflows/pages.yml	125	AUTOMATION	TARGET	fs.mkdirSync(path.dirname(target), { recursive: true });
.github/workflows/pages.yml	126	AUTOMATION	TARGET	fs.copyFileSync(file, target);
.github/workflows/pages.yml	130	AUTOMATION	TARGET	const target = path.join(siteDir, file.slice('docs/'.length));
.github/workflows/pages.yml	131	AUTOMATION	TARGET	if (!fs.existsSync(target)) continue;
.github/workflows/pages.yml	132	AUTOMATION	TARGET	const html = fs.readFileSync(target, 'utf8').replaceAll('__FORGE_BUILD_SHA__', process.env.GITHUB_SHA);
.github/workflows/pages.yml	133	AUTOMATION	TARGET	fs.writeFileSync(target, html);
actividad.js	108	RUNTIME_OR_PLATFORM	WEIGHT	font-weight:800;
actividad.js	156	RUNTIME_OR_PLATFORM	WEIGHT	font-weight:700;
actividad.js	162	RUNTIME_OR_PLATFORM	POINT	Puntos oficiales
actividad.js	166	RUNTIME_OR_PLATFORM	POINT	id="act-total-points"
actividad.js	169	RUNTIME_OR_PLATFORM	WEIGHT	font-weight:900;
actividad.js	216	RUNTIME_OR_PLATFORM	WEIGHT	font-weight:700;
actividad.js	246	RUNTIME_OR_PLATFORM	WEIGHT	font-weight:800;
actividad.js	343	RUNTIME_OR_PLATFORM	KPI	id="actividad-kpis"
actividad.js	372	RUNTIME_OR_PLATFORM	TARGET	e.target.closest(
actividad.js	395	RUNTIME_OR_PLATFORM	TARGET	e.target.id ===
actividad.js	539	RUNTIME_OR_PLATFORM	POINT	'act-total-points'
actividad.js	584	RUNTIME_OR_PLATFORM	KPI	class="kpi-row"
actividad.js	599	RUNTIME_OR_PLATFORM	KPI	class="kpi-row"
actividad.js	614	RUNTIME_OR_PLATFORM	KPI	class="kpi-row"
actividad.js	631	RUNTIME_OR_PLATFORM	KPI	'actividad-kpis'
actividad.js	742	RUNTIME_OR_PLATFORM	TARGET	const target =
actividad.js	747	RUNTIME_OR_PLATFORM	TARGET	if (!target) {
actividad.js	752	RUNTIME_OR_PLATFORM	TARGET	target.innerHTML =
actividad.js	753	RUNTIME_OR_PLATFORM	PRODUCTIVITY	'⚙️ Analizando productividad...';
actividad.js	803	RUNTIME_OR_PLATFORM	TARGET	target.textContent =
adr/_archive/ADR-014_ProductivityMetricOwnership_Final.txt	1	RUNTIME_OR_PLATFORM	PRODUCTIVITY	ADR-014 — PRODUCTIVITY METRIC OWNERSHIP BOUNDARY
adr/_archive/ADR-014_ProductivityMetricOwnership_Final.txt	4	RUNTIME_OR_PLATFORM	PRODUCTIVITY	ADR-014 — Productivity Metric Ownership Boundary
adr/_archive/ADR-014_ProductivityMetricOwnership_Final.txt	12	RUNTIME_OR_PLATFORM	PRODUCTIVITY,RANKING	ADR-014 define cómo Productivity mide, consolida y reporta métricas de actividad, throughput, conversión y output observable sin convertirlas en juicio humano, enforcement, ranking, presión comercial o valoración del asesor.
adr/_archive/ADR-014_ProductivityMetricOwnership_Final.txt	14	RUNTIME_OR_PLATFORM	PRODUCTIVITY	Productivity existe para responder:
adr/_archive/ADR-014_ProductivityMetricOwnership_Final.txt	17	RUNTIME_OR_PLATFORM	PRODUCTIVITY	Productivity no responde a juicios de valor humano ni reemplaza criterio humano.
adr/_archive/ADR-014_ProductivityMetricOwnership_Final.txt	20	RUNTIME_OR_PLATFORM	PRODUCTIVITY	Productivity es owner conceptual de métricas de actividad, throughput, conversión y output observable dentro de su boundary.
adr/_archive/ADR-014_ProductivityMetricOwnership_Final.txt	29	RUNTIME_OR_PLATFORM	SCORE	- generar scores o rankings
adr/_archive/ADR-014_ProductivityMetricOwnership_Final.txt	34	RUNTIME_OR_PLATFORM	PRODUCTIVITY	Productivity Metric, Activity, Throughput, Conversion, Output, Productivity Gap, Productivity Signal, Metric Freshness, Productivity Drift/Staleness, Productivity Report/Dashboard — definidos tal como en Draft5.
adr/_archive/ADR-014_ProductivityMetricOwnership_Final.txt	36	RUNTIME_OR_PLATFORM	PRODUCTIVITY	6. PRODUCTIVITY OWNERSHIP RULES
adr/_archive/ADR-014_ProductivityMetricOwnership_Final.txt	37	RUNTIME_OR_PLATFORM	PRODUCTIVITY	Productivity posee métricas y gaps, freshness indicators, reports y trend observations.
adr/_archive/ADR-014_ProductivityMetricOwnership_Final.txt	39	RUNTIME_OR_PLATFORM	RANKING	No posee behavior truth, advisor worth, human ranking ni evaluación de manager.
adr/_archive/ADR-014_ProductivityMetricOwnership_Final.txt	48	RUNTIME_OR_PLATFORM	PRODUCTIVITY	Productivity report, period summary, activity/throughput/conversion summary, gap analysis, trend observation, metric freshness/completeness indicators, signals para Business Planning, Mick, Manager Intelligence, Advisor Experience, NBA/NASH, validation/stale/conflicting warnings, no productivity con
adr/_archive/ADR-014_ProductivityMetricOwnership_Final.txt	51	RUNTIME_OR_PLATFORM	SCORE	Scores humanos, rankings, valor moral, recomendaciones sin review humano, enforcement, juicios de persona, diagnósticos de personalidad o potencial.
adr/_archive/ADR-014_ProductivityMetricOwnership_Final.txt	60	RUNTIME_OR_PLATFORM	SCORE	Métricas con evidencia parcial: marcar provisional, incomplete, validation needed, stale, uncertainty. No establecer conclusión productiva ni score humano.
adr/_archive/ADR-014_ProductivityMetricOwnership_Final.txt	63	RUNTIME_OR_PLATFORM	PRODUCTIVITY	Positivos: integridad métricas, protección de Authority Boundary, inputs confiables para otros dominios, separación Productivity vs Behavior, trazabilidad completa.
adr/_archive/ADR-014_ProductivityMetricOwnership_Final.txt	74	RUNTIME_OR_PLATFORM	PRODUCTIVITY,RANKING,SCORE	No define engine, dashboard UI, scoring/ranking, enforcement, workflow, notification, feature behavior, database o implementación. No crea Productivity Score ni ranking humano.
adr/_archive/ADR-014_ProductivityMetricOwnership_Final.txt	77	RUNTIME_OR_PLATFORM	PRODUCTIVITY	Productivity mide actividad, throughput, conversión y output observable preservando fuente, owner, periodo, contexto y freshness.
adr/_archive/ADR-014_ProductivityMetricOwnership_Final.txt	79	RUNTIME_OR_PLATFORM	RANKING	No juzga personas, no crea enforcement ni ranking.
adr/_archive/ADR-014_ProductivityMetricOwnership_Final.txt	83	RUNTIME_OR_PLATFORM	PRODUCTIVITY	Métrica productiva sin boundary adecuado no es Productivity Intelligence.
adr/_archive/ADR-015_ManagerIntelligenceAuthority_Final.txt	15	RUNTIME_OR_PLATFORM	RANKING	ADR-015 define cómo Manager Intelligence puede apoyar coaching, observación, desarrollo, seguimiento y claridad gerencial sin convertirse en enforcement automático, juicio laboral, vigilancia, ranking humano o sustituto de autoridad humana.
adr/_archive/ADR-015_ManagerIntelligenceAuthority_Final.txt	36	RUNTIME_OR_PLATFORM	PRODUCTIVITY	Manager Intelligence no es Productivity.
adr/_archive/ADR-015_ManagerIntelligenceAuthority_Final.txt	51	RUNTIME_OR_PLATFORM	PRODUCTIVITY	- convertir Productivity en valor humano
adr/_archive/ADR-015_ManagerIntelligenceAuthority_Final.txt	91	RUNTIME_OR_PLATFORM	PERFORMANCE	- final performance judgment
adr/_archive/ADR-015_ManagerIntelligenceAuthority_Final.txt	95	RUNTIME_OR_PLATFORM	SCORE	- obedience score
adr/_archive/ADR-015_ManagerIntelligenceAuthority_Final.txt	96	RUNTIME_OR_PLATFORM	SCORE	- human worth score
adr/_archive/ADR-015_ManagerIntelligenceAuthority_Final.txt	130	RUNTIME_OR_PLATFORM	RANKING	Deterioro cuando una señal se convierte en castigo, ranking, vigilancia o presión.
adr/_archive/ADR-015_ManagerIntelligenceAuthority_Final.txt	134	RUNTIME_OR_PLATFORM	TARGET	Pérdida de vigencia de una señal por cambio de contexto, periodo, equipo, manager, campaña o metas.
adr/_archive/ADR-015_ManagerIntelligenceAuthority_Final.txt	138	RUNTIME_OR_PLATFORM	RANKING	Resumen agregado de patrones de equipo, sin convertirlo en ranking humano.
adr/_archive/ADR-015_ManagerIntelligenceAuthority_Final.txt	159	RUNTIME_OR_PLATFORM	PRODUCTIVITY	- productivity context summaries
adr/_archive/ADR-015_ManagerIntelligenceAuthority_Final.txt	169	RUNTIME_OR_PLATFORM	PRODUCTIVITY	- productivity truth
adr/_archive/ADR-015_ManagerIntelligenceAuthority_Final.txt	182	RUNTIME_OR_PLATFORM	RANKING	- human ranking
adr/_archive/ADR-015_ManagerIntelligenceAuthority_Final.txt	198	RUNTIME_OR_PLATFORM	RANKING	Una métrica no es ranking.
adr/_archive/ADR-016_AdvisorExperience_Benvenu_AntiDependence_Final.txt	71	RUNTIME_OR_PLATFORM	PRODUCTIVITY	Productivity no es vergüenza.
adr/ADR_005_016_REAUDIT_REPAIR_REPORT.txt	30	RUNTIME_OR_PLATFORM	PRODUCTIVITY	014 | adr/ADR-014 — Productivity Metric Ownership Boundary.txt | Valid, no changes in this pass.
adr/ADR_015_TARGETED_REPAIR_REPORT.txt	5	RUNTIME_OR_PLATFORM	TARGET	Target file:
adr/ADR_015_TARGETED_REPAIR_REPORT.txt	40	RUNTIME_OR_PLATFORM	PRODUCTIVITY	14. MANAGER INTELLIGENCE VS PRODUCTIVITY
adr/ADR_016_TARGETED_REPAIR_REPORT.txt	5	RUNTIME_OR_PLATFORM	TARGET	Target file:
adr/ADR_016_TARGETED_REPAIR_REPORT.txt	53	RUNTIME_OR_PLATFORM	PRODUCTIVITY	19. ADVISOR EXPERIENCE VS PRODUCTIVITY
adr/ADR_AUDIT_005_TO_LATEST_REPORT.txt	28	RUNTIME_OR_PLATFORM	PRODUCTIVITY	014 | adr/ADR-014 — Productivity Metric Ownership Boundary.txt | Created canonical final from complete Draft5; updated STATUS to Final.
adr/ADR_CONSTITUTIONAL_PHASE_LOCK_REPORT.txt	28	RUNTIME_OR_PLATFORM	PRODUCTIVITY	adr/ADR-014 — Productivity Metric Ownership Boundary.txt
adr/ADR_CONSTITUTIONAL_PHASE_LOCK_REPORT.txt	49	RUNTIME_OR_PLATFORM	PRODUCTIVITY	881 adr/ADR-014 — Productivity Metric Ownership Boundary.txt
adr/ADR_CONSTITUTIONAL_PHASE_LOCK_REPORT.txt	279	RUNTIME_OR_PLATFORM	PRODUCTIVITY	- Productivity Metric Ownership
adr/ADR_CONSTITUTIONAL_PHASE_LOCK_REPORT.txt:140:adr/ADR-015 — Manager Intelligence Authority Boundary.txt	330	RUNTIME_OR_PLATFORM	PERFORMANCE	- final performance judgment
adr/ADR_CONSTITUTIONAL_PHASE_LOCK_REPORT.txt:141:adr/ADR-015 — Manager Intelligence Authority Boundary.txt	416	RUNTIME_OR_PLATFORM	RANKING	Metrics must not become human ranking, punishment or final labor evaluation.
adr/ADR_CONSTITUTIONAL_PHASE_LOCK_REPORT.txt:67:adr/ADR-003 — Recommendation vs Decision Authority Boundary.txt	184	RUNTIME_OR_PLATFORM	PERFORMANCE	- interpretación final de desempeño
adr/ADR-016A-BENVENU-PURPOSE-SCARCITY-DIGNITY-BOUNDARY.md	19	RUNTIME_OR_PLATFORM	PRODUCTIVITY	Purpose can also become coercive if it leaks into productivity, behavior scoring, manager pressure, client communication, economic motivation, global memory or hidden personalization.
adr/ADR-016A-BENVENU-PURPOSE-SCARCITY-DIGNITY-BOUNDARY.md	31	RUNTIME_OR_PLATFORM	PRODUCTIVITY	Purpose Snapshot is not productivity truth.
adr/ADR-016A-BENVENU-PURPOSE-SCARCITY-DIGNITY-BOUNDARY.md	75	RUNTIME_OR_PLATFORM	RANKING	The rule that purpose must never become pressure, shame, surveillance, ranking, client manipulation, manager leverage or identity reduction.
adr/ADR-016A-BENVENU-PURPOSE-SCARCITY-DIGNITY-BOUNDARY.md	113	RUNTIME_OR_PLATFORM	PRODUCTIVITY	Productivity: DENY absolute.
adr/ADR-016A-BENVENU-PURPOSE-SCARCITY-DIGNITY-BOUNDARY.md	123	RUNTIME_OR_PLATFORM	RANKING	No domain may infer, recalculate, rank, summarize or weaponize purpose.
adr/ADR-016A-BENVENU-PURPOSE-SCARCITY-DIGNITY-BOUNDARY.md	151	RUNTIME_OR_PLATFORM	PRODUCTIVITY,SCORE	- productivity scores
adr/ADR-016A-BENVENU-PURPOSE-SCARCITY-DIGNITY-BOUNDARY.md	152	RUNTIME_OR_PLATFORM	SCORE	- behavior scores
adr/ADR-016A-BENVENU-PURPOSE-SCARCITY-DIGNITY-BOUNDARY.md	186	RUNTIME_OR_PLATFORM	PRODUCTIVITY	- productivity humiliation
adr/ADR-016A-BENVENU-PURPOSE-SCARCITY-DIGNITY-BOUNDARY.md	188	RUNTIME_OR_PLATFORM	RANKING	- ranking advisors by purpose
adr/ADR-016A-BENVENU-PURPOSE-SCARCITY-DIGNITY-BOUNDARY.md	247	RUNTIME_OR_PLATFORM	PERFORMANCE	Forge must not reduce an advisor to pain, lack, ambition, family obligation, income need or performance gap.
adr/ADR-016A-BENVENU-PURPOSE-SCARCITY-DIGNITY-BOUNDARY.md	338	RUNTIME_OR_PLATFORM	PRODUCTIVITY	Productivity: DENY.
adr/ADR-016A-BENVENU-PURPOSE-SCARCITY-DIGNITY-BOUNDARY.md	402	RUNTIME_OR_PLATFORM	SCORE	Mick must not score purpose.
adr/ADR-016A-BENVENU-PURPOSE-SCARCITY-DIGNITY-BOUNDARY.md	408	RUNTIME_OR_PLATFORM	PRODUCTIVITY	## 23. RELATIONSHIP WITH PRODUCTIVITY
adr/ADR-016A-BENVENU-PURPOSE-SCARCITY-DIGNITY-BOUNDARY.md	410	RUNTIME_OR_PLATFORM	PRODUCTIVITY	Productivity: DENY.
adr/ADR-016A-BENVENU-PURPOSE-SCARCITY-DIGNITY-BOUNDARY.md	412	RUNTIME_OR_PLATFORM	PRODUCTIVITY	Productivity must not read, receive, infer or use Purpose Snapshot.
adr/ADR-016A-BENVENU-PURPOSE-SCARCITY-DIGNITY-BOUNDARY.md	414	RUNTIME_OR_PLATFORM	PRODUCTIVITY	Productivity must not convert purpose into a productivity metric.
adr/ADR-016A-BENVENU-PURPOSE-SCARCITY-DIGNITY-BOUNDARY.md	567	RUNTIME_OR_PLATFORM	PRODUCTIVITY	- expose purpose to Productivity
adr/ADR-016A-BENVENU-PURPOSE-SCARCITY-DIGNITY-BOUNDARY.md	572	RUNTIME_OR_PLATFORM	PRODUCTIVITY	- convert purpose into productivity, compensation, behavior or manager authority
adr/ADR-016A-BENVENU-PURPOSE-SCARCITY-DIGNITY-BOUNDARY.md	594	RUNTIME_OR_PLATFORM	PRODUCTIVITY	- ADR-014 Productivity Metric Ownership Boundary
adr/ADR-016A-BENVENU-PURPOSE-SCARCITY-DIGNITY-BOUNDARY.md	613	RUNTIME_OR_PLATFORM	PRODUCTIVITY	ADR-016A does not authorize Revenue, NASH, Mick, Productivity, Command OS or Manager Intelligence changes.
adr/ADR-016A-BENVENU-PURPOSE-SCARCITY-DIGNITY-BOUNDARY.md	635	RUNTIME_OR_PLATFORM	PRODUCTIVITY	It cannot be absorbed by Mick, Productivity, Manager Intelligence, NASH, Business Planning or Economic Motivation because it defines DENY boundaries against those domains.
advisor-os/activity/application/activity-feed-projector.mjs	387	FROZEN_ACTIVITY_REFERENCE	TARGET	const target =
advisor-os/activity/application/activity-feed-projector.mjs	390	FROZEN_ACTIVITY_REFERENCE	TARGET	if (!target) {
advisor-os/activity/application/activity-feed-projector.mjs	392	FROZEN_ACTIVITY_REFERENCE	TARGET	`relation target ${relation.activityId} is missing from the as-of snapshot`,
advisor-os/activity/application/activity-feed-projector.mjs	397	FROZEN_ACTIVITY_REFERENCE	TARGET	target.source.recordedAt >
advisor-os/activity/application/activity-feed-projector.mjs	401	FROZEN_ACTIVITY_REFERENCE	TARGET	`relation ${record.id} precedes its target`,
advisor-os/activity/application/activity-feed-projector.mjs	406	FROZEN_ACTIVITY_REFERENCE	TARGET	index.get(target.id);
advisor-os/activity/application/activity-period-aggregator.mjs	326	FROZEN_ACTIVITY_REFERENCE	TARGET	const target =
advisor-os/activity/application/activity-period-aggregator.mjs	329	FROZEN_ACTIVITY_REFERENCE	TARGET	if (!target) {
advisor-os/activity/application/activity-period-aggregator.mjs	331	FROZEN_ACTIVITY_REFERENCE	TARGET	`relation target ${relation.activityId} is missing from the as-of snapshot`,
advisor-os/activity/application/activity-period-aggregator.mjs	336	FROZEN_ACTIVITY_REFERENCE	TARGET	target.source.recordedAt >
advisor-os/activity/application/activity-period-aggregator.mjs	340	FROZEN_ACTIVITY_REFERENCE	TARGET	`relation ${record.id} precedes its target`,
advisor-os/activity/application/activity-period-aggregator.mjs	347	FROZEN_ACTIVITY_REFERENCE	TARGET	target.id,
advisor-os/activity/application/activity-period-aggregator.mjs	356	FROZEN_ACTIVITY_REFERENCE	TARGET	suppressionByTarget.get(target.id) !==
advisor-os/activity/application/activity-period-aggregator.mjs	360	FROZEN_ACTIVITY_REFERENCE	TARGET	target.id,
